#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bd3 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
197 24.78 88.32 6.94 4.90 6.86
198 25.42 41.31 56.24 47.77 125.98
199 24.85 78.89 24.81 19.56 34.06
200 25.29 84.42 16.63 14.33 18.50
201 25.21 29.33 61.53 64.37 146.64
202 25.71 19.85 45.11 42.57 82.76
203 25.57 23.14 49.92 53.70 95.48
204 25.28 10.27 8.02 4.07 7.59
205 26.59 50.51 53.32 41.92 105.56
206 25.88 64.79 51.95 43.38 119.03
207 25.84 26.99 52.23 55.36 95.85
208 26.02 15.50 29.89 24.77 40.74
209 26.15 12.45 14.91 8.95 14.11
210 26.12 80.66 43.14 41.95 77.04
211 26.28 71.24 51.30 49.41 115.18
212 26.56 44.79 56.94 50.98 125.91
213 26.32 56.54 49.23 36.58 91.94
214 26.36 24.99 51.26 55.42 101.58
215 26.01 88.84 8.55 5.11 5.30
216 26.37 10.82 10.82 7.12 12.99
217 26.38 46.96 58.02 45.67 104.88
218 26.66 29.81 59.68 59.44 109.68
219 26.87 39.18 57.98 54.06 126.96
220 26.81 84.52 21.50 18.69 24.62
221 26.89 34.74 58.55 55.42 122.65
222 27.43 62.07 48.72 38.98 93.00
223 27.17 77.53 49.39 52.05 103.39
224 26.72 74.19 31.63 19.25 40.16
225 26.79 88.33 8.62 6.62 7.21
226 27.45 67.03 54.07 48.63 114.49
227 27.08 89.95 6.76 5.14 5.67
228 27.40 18.49 49.11 51.01 80.86
229 27.55 31.87 59.95 64.83 104.24
230 27.74 22.02 45.05 50.51 75.23
231 27.36 55.58 51.11 37.49 105.41
232 27.27 11.24 12.91 6.43 11.43
233 27.26 9.15 8.65 4.33 5.38
234 28.02 14.58 32.88 28.20 37.92
235 27.65 26.66 50.88 48.63 83.03
236 27.82 24.45 55.68 76.26 93.58
237 28.10 71.79 53.03 50.24 107.70
238 28.59 75.19 53.67 52.94 100.96
239 27.90 86.94 16.65 13.42 15.86
240 28.15 44.85 57.16 51.74 110.99
241 28.41 58.28 60.60 53.42 124.23
242 28.26 81.22 48.86 51.35 78.01
243 27.97 8.12 7.16 3.22 5.84
244 28.21 10.89 15.22 10.53 12.74
245 27.89 89.62 8.13 4.85 5.62
246 28.28 28.89 63.52 76.63 113.22
247 28.56 39.88 62.13 57.64 115.54
248 28.13 91.41 6.06 4.36 4.11
249 28.60 50.70 59.93 55.35 116.29
250 28.77 35.21 61.91 60.69 112.27
251 29.15 54.75 57.83 49.29 111.62
252 29.22 85.29 31.76 31.02 36.15
253 28.72 89.13 11.24 8.21 8.08
254 29.05 19.06 56.21 58.68 86.20
