#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bd3 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
1221 90.43 29.89 40.37 4.29 3.27
1222 90.69 61.88 113.52 12.74 12.82
1223 90.36 73.89 14.10 1.01 1.45
1224 90.32 26.32 18.87 1.60 2.12
1225 90.67 58.59 162.53 15.24 16.63
1226 90.78 51.22 155.97 16.24 16.91
1227 91.04 40.17 148.81 14.97 15.04
1228 91.35 69.19 26.77 2.67 2.37
1229 91.09 24.71 12.79 0.83 0.67
1230 91.40 32.83 62.82 6.61 5.62
1231 91.44 36.84 120.93 11.79 12.00
1232 91.55 26.80 15.25 1.58 1.39
1233 91.57 71.82 14.85 1.40 1.39
1234 91.94 56.02 135.92 13.73 13.84
1235 91.96 52.85 149.22 15.18 15.54
1236 91.78 47.75 164.78 16.78 15.85
1237 92.11 44.67 137.34 16.62 14.37
1238 91.98 59.60 134.18 12.57 13.19
1239 92.34 30.68 24.78 2.79 2.85
1240 92.47 63.98 53.18 5.51 5.22
1241 92.40 66.90 31.81 3.44 2.94
1242 92.71 41.47 150.33 14.34 13.49
1243 92.84 34.87 54.37 5.75 5.02
1244 92.56 70.20 13.55 1.46 1.18
1245 93.14 49.67 136.21 13.96 13.80
1246 93.12 61.25 95.20 7.60 7.95
1247 92.74 28.03 13.59 1.34 1.25
1248 93.26 38.20 91.82 8.98 9.02
1249 93.61 55.32 106.06 11.59 11.67
1250 93.74 32.13 21.63 2.38 2.17
1251 93.84 68.15 15.26 1.48 1.53
1252 94.08 43.79 121.72 11.41 10.42
1253 94.44 64.47 23.72 2.15 1.90
1254 94.83 46.72 98.45 10.18 9.68
1255 94.44 59.93 56.00 5.09 4.53
1256 94.64 50.91 107.88 10.96 10.92
1257 95.20 40.79 57.72 5.75 5.49
1258 94.52 33.79 19.72 1.77 1.48
1259 94.87 36.87 35.47 3.74 3.00
1260 95.49 56.54 60.52 5.41 5.33
1261 94.76 32.12 16.45 1.35 1.48
1262 94.83 66.99 12.62 0.72 1.03
1263 96.05 53.10 64.04 6.16 5.65
1264 95.63 33.81 15.25 1.64 1.31
1265 96.00 60.87 24.57 2.49 2.01
1266 95.85 63.85 16.30 1.39 1.68
1267 96.74 48.35 49.48 4.88 3.95
1268 96.79 41.90 31.27 3.09 2.57
1269 96.43 37.60 18.51 1.58 1.76
1270 97.10 44.89 36.74 3.98 3.00
1271 97.19 57.57 19.06 1.86 1.75
1272 97.62 51.38 26.56 2.37 2.02
1273 98.02 54.78 15.73 1.25 1.54
1274 98.81 48.72 12.19 1.37 1.52
1275 98.62 46.01 12.10 0.94 1.12

