#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
be5 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
345 38.44 83.23 121.43 97.69 46.01
346 38.78 17.78 85.57 75.78 54.14
347 38.67 66.17 117.97 104.97 47.64
348 38.80 11.35 82.39 79.21 55.74
349 38.91 76.52 123.64 103.95 45.34
350 39.09 26.70 93.65 89.57 52.51
351 39.06 30.65 98.07 89.42 51.74
352 39.37 14.75 83.27 74.33 49.50
353 39.16 90.19 83.18 74.92 30.70
354 39.26 70.29 122.92 104.08 45.21
355 39.32 42.70 107.56 94.85 49.61
356 39.42 58.84 109.41 97.44 45.64
357 39.76 38.89 92.31 75.91 40.98
358 39.43 34.23 93.78 85.66 47.89
359 39.74 49.76 107.02 90.25 44.40
360 39.89 84.74 99.63 77.44 34.14
361 39.75 63.55 113.79 99.50 43.75
362 40.38 52.46 101.42 85.70 41.67
363 39.80 94.44 30.43 29.63 10.83
364 39.98 73.77 114.92 90.53 39.49
365 40.06 45.65 110.55 94.54 52.00
366 40.13 55.70 118.96 103.38 45.99
367 40.10 6.11 68.10 68.84 46.35
368 40.26 88.25 108.25 85.38 34.58
369 40.40 21.50 90.89 79.07 47.67
370 40.51 66.83 110.18 88.93 39.35
371 40.42 11.43 75.56 75.58 43.04
372 40.79 24.74 89.22 80.14 44.31
373 40.78 17.89 85.87 76.62 45.84
374 40.75 28.96 95.69 84.25 46.33
375 40.94 76.65 111.40 86.70 34.02
376 40.80 36.62 114.52 92.15 53.30
377 40.86 80.26 121.71 83.36 38.66
378 40.90 61.60 123.13 103.48 45.94
379 41.28 32.96 102.23 86.94 46.27
380 41.03 70.51 123.81 96.29 40.91
381 41.32 90.96 84.41 72.13 27.20
382 41.17 42.77 110.03 90.06 46.40
383 41.30 8.30 81.06 74.53 47.99
384 41.37 58.20 119.75 102.59 42.88
385 41.41 94.53 35.56 28.21 12.19
386 41.59 4.08 53.73 52.37 32.98
387 41.60 14.49 87.60 76.41 44.01
388 41.42 47.49 104.45 81.31 40.67
389 41.94 86.98 106.93 76.05 30.96
390 41.81 83.63 128.33 90.71 38.77
391 42.02 55.07 124.04 98.38 42.72
392 42.08 73.43 131.94 100.95 40.77
393 42.25 64.50 126.23 95.73 40.95
394 42.35 19.62 91.50 76.91 42.34
395 42.34 40.39 110.71 80.41 43.54
396 42.49 26.17 96.23 80.97 41.73
397 42.28 67.67 128.05 97.15 42.31
398 42.77 2.12 37.76 36.37 20.60
399 42.46 51.70 123.42 90.52 41.49
400 42.47 37.09 112.72 83.70 43.77
401 42.54 29.85 101.76 80.66 40.48
402 42.72 9.48 78.28 66.88 38.06
403 42.62 61.12 121.95 96.86 37.51
404 42.55 80.13 123.54 86.16 35.95
405 42.93 22.79 101.17 82.46 43.32
406 43.00 75.95 120.18 81.50 34.52
407 42.82 48.11 125.09 86.82 42.80
408 43.00 44.21 110.47 79.84 40.48
409 43.11 71.03 123.88 91.06 36.02
410 42.90 11.83 91.17 75.62 40.77
411 43.15 92.60 62.57 46.77 19.52
412 43.32 34.23 104.34 78.98 39.52
413 43.39 16.53 92.96 78.57 39.39
414 43.22 13.41 80.29 72.79 39.86
415 43.51 57.65 133.36 99.39 40.61
416 43.57 88.14 111.87 78.60 31.23
417 43.58 6.03 70.76 61.08 37.15
418 43.76 83.83 116.25 78.92 31.38
419 43.89 54.13 120.52 87.19 37.37
420 43.94 66.80 117.72 81.89 32.91
421 44.07 78.97 122.75 78.49 30.03
422 44.13 30.83 106.98 81.43 39.44
423 44.23 39.95 105.00 71.25 35.78
424 44.26 49.13 115.93 73.35 35.78
425 44.24 60.92 130.16 100.64 37.19
426 44.36 19.92 101.52 80.81 41.26
427 44.54 27.59 106.91 82.91 39.70
428 43.85 63.29 79.80 44.80 26.20
429 44.84 2.73 46.93 38.93 24.41
430 44.63 10.81 86.71 67.06 37.48
431 44.80 24.51 102.41 77.17 39.60
432 44.74 14.63 95.98 72.03 36.71
433 44.58 43.74 123.07 78.20 38.37
434 44.68 70.89 139.61 94.51 36.82
435 44.97 36.63 117.50 75.27 40.12
436 44.85 74.74 133.64 91.21 34.30
437 44.92 90.63 97.11 62.99 25.75
438 44.84 94.56 42.24 28.66 13.02
439 45.18 63.25 135.40 93.11 34.48
440 45.34 33.36 109.19 71.12 36.06
441 45.32 7.80 85.01 62.75 37.22
442 45.36 82.27 125.77 71.80 27.62
443 45.38 52.35 132.23 86.23 37.96
444 45.44 57.16 124.64 80.17 34.17
445 45.60 85.96 118.18 75.19 28.30
446 45.62 46.26 127.21 74.58 39.09
447 45.65 67.02 140.26 93.17 37.99
448 45.69 78.34 137.94 81.19 32.62
449 45.94 21.86 111.46 78.52 38.90
450 46.02 17.57 95.25 70.58 36.51
451 46.16 4.85 71.48 50.56 30.87
452 46.22 42.47 121.50 69.78 34.13
453 46.17 29.04 112.11 78.19 37.17
454 46.28 38.74 121.65 75.30 38.68
455 46.27 13.58 96.96 72.03 36.81
456 46.29 71.17 141.02 88.04 33.97
457 46.33 93.05 69.45 47.27 19.05
458 45.92 10.42 51.36 31.09 18.64
459 46.55 89.16 112.79 69.98 25.01
460 46.76 48.66 114.92 65.81 32.19
461 46.63 59.68 130.76 80.26 33.47
462 46.65 74.77 123.98 71.86 26.92
463 46.92 25.54 109.97 73.76 34.28
464 46.87 64.07 139.04 86.13 34.58
465 47.01 32.31 120.03 75.56 37.36
466 46.95 52.72 126.92 72.49 31.55
467 47.09 81.31 123.07 66.98 27.49
468 47.24 7.95 81.51 57.51 29.08
469 47.48 3.19 48.34 33.97 19.67
470 47.22 11.08 103.88 71.15 36.28
471 47.38 35.70 127.89 74.43 39.27
472 47.37 67.64 139.13 81.08 34.03
473 47.45 20.38 108.06 73.69 35.64
474 47.58 56.25 138.04 78.92 34.25
475 47.63 85.79 126.38 70.54 27.10
476 47.66 44.18 129.19 73.66 33.02
477 47.80 76.65 144.44 75.26 30.62
478 47.77 16.88 101.83 65.53 32.25
479 47.98 40.02 119.19 67.40 33.11
480 47.94 93.48 67.55 41.81 17.05
481 48.10 28.63 116.07 67.56 31.36
482 47.96 61.17 148.25 83.47 34.00
483 48.32 70.98 132.98 70.47 29.05
484 48.27 23.64 115.22 73.91 33.66
485 48.32 89.48 123.69 72.69 26.19
486 48.49 13.58 107.03 68.65 34.26
487 48.56 49.77 132.42 70.42 30.29
