#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab16 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
425 42.92 86.66 77.62 64.04 28.22
426 42.87 18.99 89.85 84.61 33.36
427 42.77 54.06 104.98 80.92 34.64
428 42.87 42.96 107.09 99.55 39.41
429 42.76 82.31 87.05 67.91 27.57
430 43.17 65.02 83.43 71.07 30.09
431 43.31 91.01 60.80 52.06 23.30
432 43.35 50.02 102.27 91.32 37.39
433 43.79 74.94 89.98 71.48 26.71
434 43.75 26.45 94.13 105.76 37.72
435 43.96 47.01 90.65 82.01 31.14
436 43.85 69.64 75.93 70.00 27.45
437 43.83 16.17 83.05 78.79 30.04
438 43.91 30.20 92.41 86.79 32.76
439 43.84 8.54 46.83 52.12 22.13
440 43.85 22.92 84.14 84.90 30.10
441 44.15 33.46 91.51 86.20 31.52
442 44.17 40.43 97.33 89.48 32.17
443 44.00 56.80 102.25 81.26 32.21
444 44.06 60.49 90.88 80.69 30.21
445 43.95 79.29 110.49 90.20 32.62
446 43.70 83.18 79.88 62.54 27.57
447 44.33 37.19 91.27 89.18 32.10
448 44.14 53.56 92.83 70.86 29.94
449 44.61 12.89 76.02 75.23 27.42
450 44.62 88.48 77.68 64.41 25.98
451 44.74 43.84 97.29 88.22 30.24
452 44.98 92.68 50.77 43.07 20.68
453 44.78 20.03 79.61 84.84 29.54
454 45.27 62.55 86.57 76.00 28.40
455 44.94 6.22 42.83 57.89 24.13
456 45.11 50.61 99.26 93.04 32.11
457 45.15 82.06 86.60 70.64 25.97
458 45.56 85.45 87.06 71.24 26.08
459 45.41 66.30 79.82 75.10 26.77
460 45.23 72.99 82.68 76.23 25.89
461 45.56 28.59 87.81 85.73 28.48
462 45.05 53.96 95.33 88.35 32.56
463 45.39 24.51 81.86 92.04 28.65
464 45.64 77.19 87.64 72.17 25.01
465 45.54 10.02 69.34 75.74 26.10
466 45.73 16.02 69.90 78.86 26.67
467 45.83 57.24 93.33 84.45 29.75
468 45.77 34.48 85.77 88.24 27.85
469 45.66 47.31 109.58 95.55 33.32
470 46.24 70.20 79.04 78.57 25.18
471 46.31 39.65 91.46 97.47 30.68
472 46.41 43.91 88.40 89.68 27.68
473 46.33 19.96 75.24 92.65 28.48
474 46.23 11.85 61.13 53.54 22.20
475 46.50 53.20 106.34 94.85 30.93
476 46.67 89.05 58.42 62.20 23.21
477 46.57 4.72 35.44 45.99 15.66
478 46.36 48.81 100.89 97.54 32.22
479 46.88 7.84 49.86 61.90 20.51
480 46.79 93.27 39.87 47.27 18.96
481 47.03 31.09 79.51 93.87 27.36
482 46.91 80.73 86.78 79.93 23.96
483 46.95 23.51 71.54 95.98 27.95
484 47.21 59.80 88.56 84.32 26.42
485 47.13 66.87 73.43 78.00 23.91
486 47.20 74.06 99.42 95.87 27.74
487 47.37 14.01 72.90 81.90 25.25
488 47.27 35.04 82.34 99.57 28.73
489 47.48 84.69 75.54 73.15 23.68
490 47.41 27.42 80.88 100.63 28.80
491 47.90 77.33 83.35 76.26 22.92
492 47.87 63.48 94.54 102.34 30.65
493 47.81 51.54 98.61 109.07 30.99
494 47.71 18.09 69.21 99.79 26.06
495 47.78 48.39 93.01 98.65 28.89
496 47.70 55.75 100.91 102.70 30.59
497 48.05 10.44 54.05 69.01 22.24
498 48.12 38.61 86.89 102.08 27.18
499 48.03 45.12 95.58 101.22 28.85
500 48.21 70.63 88.89 101.53 27.34
