#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
cb23 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
257 30.05 76.29 159.75 70.72 64.49
258 30.43 7.37 70.11 20.44 51.27
259 29.93 48.36 155.65 58.74 86.94
260 30.48 72.26 160.60 70.70 67.44
261 30.41 53.98 166.66 69.75 88.23
262 30.54 62.22 177.46 77.03 80.77
263 30.65 65.90 168.60 72.52 76.55
264 30.64 35.79 147.46 47.68 90.82
265 30.77 11.33 101.78 29.10 66.52
266 30.65 45.56 157.36 60.76 91.08
267 30.85 40.94 147.69 53.40 86.11
268 30.95 32.72 140.10 45.53 89.04
269 30.75 17.92 120.51 37.47 84.65
270 31.36 78.94 154.89 72.88 56.86
271 31.10 24.95 127.86 41.17 82.87
272 31.28 49.42 154.66 58.59 80.01
273 31.39 82.73 142.48 66.82 48.87
274 31.29 29.34 141.16 41.42 80.40
275 31.40 56.45 167.13 69.61 82.10
276 31.50 69.00 174.42 77.04 72.78
277 31.69 75.04 160.89 73.94 61.49
278 31.50 21.45 125.43 38.11 79.27
279 31.89 52.32 171.21 65.98 81.47
280 31.70 60.34 169.06 72.39 79.23
281 31.71 86.50 141.22 68.73 51.96
282 31.94 37.81 155.88 51.53 81.99
283 31.95 43.44 166.86 62.50 94.12
284 31.71 9.00 95.36 27.35 55.44
285 32.00 64.40 176.35 80.38 74.11
286 32.19 26.79 139.94 44.74 81.28
287 31.93 15.60 108.51 34.49 68.81
288 32.65 12.30 100.83 29.54 58.98
289 32.39 46.44 162.55 62.50 80.58
290 32.50 34.61 145.76 44.63 73.66
291 32.61 71.41 171.40 71.69 61.02
292 32.59 40.57 156.36 56.23 84.80
293 32.92 88.86 128.33 60.67 40.21
294 32.60 19.40 136.62 37.11 71.37
295 32.64 6.24 78.62 22.00 44.03
296 32.85 92.22 72.93 31.90 23.53
297 32.79 31.67 146.69 47.55 79.43
298 32.86 58.63 176.28 76.33 74.22
299 32.44 9.22 99.30 29.68 54.75
300 32.86 55.13 178.30 75.18 83.74
301 33.06 67.06 172.02 73.91 65.09
302 33.01 23.02 134.56 37.89 71.98
303 33.04 81.20 162.91 81.48 56.70
304 32.69 16.20 114.62 34.83 62.65
305 33.35 77.86 160.21 80.48 57.05
306 33.34 49.91 169.42 72.49 80.82
307 33.32 63.30 182.27 81.40 72.00
308 33.47 84.86 150.65 74.10 49.30
309 33.50 28.62 142.53 44.15 73.60
310 33.61 74.62 169.18 82.30 61.27
311 33.44 7.25 86.90 23.43 45.84
312 33.71 37.70 159.96 52.00 73.84
313 33.77 53.12 186.75 77.46 79.79
314 33.94 41.63 165.89 60.07 77.68
315 34.21 44.80 158.74 62.42 72.61
316 34.03 25.10 136.17 42.64 72.73
317 34.03 47.41 169.92 64.60 76.75
318 34.04 15.70 119.95 34.12 63.68
319 34.45 8.56 102.22 28.48 53.29
320 34.30 61.26 185.50 83.65 77.33
321 34.38 68.54 180.43 83.53 66.61
322 34.38 34.44 148.94 49.84 73.22
323 34.37 71.85 176.08 91.81 64.61
324 34.38 91.35 107.84 61.00 37.54
325 34.44 12.07 114.28 34.16 60.60
326 34.60 55.92 197.76 85.71 83.95
327 34.54 58.63 184.89 86.01 75.41
328 34.38 19.67 132.17 37.04 67.64
329 34.45 31.32 148.21 48.41 73.23
330 34.33 87.98 136.42 66.31 40.60
331 34.83 82.10 152.86 77.40 49.43
332 34.90 64.77 183.84 88.67 68.01
333 34.95 51.78 196.42 81.26 81.22
334 34.84 86.13 143.48 78.00 41.18
335 34.76 77.28 167.73 83.06 54.62
336 35.43 22.20 136.54 41.33 66.88
337 35.47 28.89 145.79 45.13 68.45
338 35.36 40.20 173.88 59.50 70.13
339 35.50 36.90 160.03 55.66 69.92
340 35.58 25.65 144.30 47.79 68.22
341 35.64 49.60 191.47 77.07 76.18
342 35.48 78.44 166.11 79.61 55.13
343 35.72 43.77 177.70 64.44 69.28
344 35.66 74.52 181.10 94.36 59.09
345 35.41 87.46 126.49 60.25 36.04
346 35.80 93.69 61.51 37.49 22.10
347 35.79 18.23 125.80 36.17 58.77
348 35.88 13.71 124.38 36.13 59.09
349 35.81 70.51 183.38 91.04 63.00
350 36.08 46.89 185.12 76.09 76.99
351 35.92 33.21 144.72 50.14 68.16
352 36.01 54.19 201.37 86.48 77.94
353 35.97 61.70 182.41 87.97 65.20
354 36.11 10.09 110.75 36.15 57.29
355 35.93 90.50 127.33 69.13 36.99
356 36.13 66.67 182.79 91.30 65.60
357 36.05 57.42 190.57 88.00 73.16
358 36.27 83.89 145.05 81.00 46.43
359 36.46 6.35 91.35 28.45 42.66
360 36.78 79.87 170.67 85.77 48.46
361 37.09 88.57 141.38 89.91 45.37
362 36.84 41.51 179.05 64.95 66.29
363 36.98 23.16 141.06 45.34 62.71
364 37.05 15.93 131.36 41.82 61.87
365 37.09 38.22 170.31 59.91 65.97
366 36.96 27.68 155.97 49.18 66.54
367 37.10 31.76 151.04 53.62 67.16
368 37.13 52.26 189.27 85.05 72.97
369 37.07 76.11 175.74 92.08 54.12
370 37.25 72.34 188.32 93.47 57.10
371 37.19 58.77 190.54 96.31 71.99
372 37.20 63.85 189.50 93.70 66.29
373 37.35 68.89 187.16 96.10 61.68
374 37.35 49.07 189.66 76.84 68.45
375 37.63 35.51 150.72 54.90 63.37
376 37.44 19.19 131.21 44.54 61.48
377 37.52 45.93 180.04 74.44 69.65
378 37.62 55.51 187.75 88.43 69.22
379 37.72 12.58 114.68 36.62 57.07
380 37.68 85.12 153.73 92.68 46.13
381 37.95 61.23 197.27 103.86 67.22
382 38.22 9.65 100.80 31.93 45.08
383 38.10 5.76 89.48 29.43 40.85
384 38.18 26.34 146.84 50.22 63.35
385 38.14 43.41 185.68 74.55 70.22
386 38.27 65.91 180.89 94.16 61.18
387 38.17 29.76 155.42 54.62 65.22
388 38.43 81.31 162.19 89.36 47.03
389 38.61 21.16 137.68 46.51 60.36
390 38.46 91.92 111.39 76.65 32.50
391 38.48 51.06 182.37 85.82 68.34
392 38.43 78.19 171.82 98.64 43.38
393 38.72 40.66 169.28 67.68 63.11
394 38.60 75.16 187.28 111.05 58.03
395 38.86 33.41 147.96 57.10 61.12
396 38.87 14.82 117.09 41.57 54.42
397 38.77 58.57 190.02 99.06 62.64
398 38.98 88.10 131.93 83.63 37.53
399 38.98 24.20 148.82 50.94 64.66
400 38.96 71.74 175.03 99.78 54.55
401 39.23 37.96 159.25 61.33 60.37
402 39.06 68.57 175.28 98.01 56.56
403 39.25 18.10 128.42 43.69 55.30
404 39.10 46.64 174.48 79.23 65.04
405 39.16 55.35 179.10 88.78 65.15
406 39.25 62.41 180.11 103.39 64.49
407 39.17 83.98 153.08 104.47 46.59
408 39.34 94.74 67.72 41.81 18.74
409 39.65 29.84 143.86 55.42 58.16
410 39.65 52.36 187.36 99.22 64.43
411 39.97 8.19 97.86 34.23 42.34
412 39.48 85.57 143.44 72.69 41.18
413 39.91 49.27 179.00 89.95 64.44
414 39.91 65.15 170.57 102.93 58.64
415 40.11 90.93 126.55 82.43 34.26
416 39.98 43.22 167.77 73.36 62.14
417 40.27 11.73 109.60 39.90 46.67
418 40.13 26.39 147.16 53.40 58.35
419 40.04 78.51 166.19 99.99 48.00
420 40.19 75.06 173.38 101.53 49.40
421 40.30 35.77 158.37 66.29 61.58
422 40.43 81.69 164.46 102.69 44.24
423 40.29 22.55 136.45 52.05 53.54
424 40.19 59.10 185.68 104.39 65.77
425 40.57 15.38 123.20 44.44 52.17
426 40.68 19.48 119.14 50.20 54.50
427 40.63 32.40 157.04 61.52 58.56
428 40.59 68.11 177.60 107.98 56.16
429 40.64 71.40 177.41 103.76 54.58
430 40.73 53.85 184.19 100.80 64.03
431 41.10 56.58 179.89 101.75 61.45
432 40.88 39.91 153.60 68.20 57.36
433 40.88 46.65 167.93 79.34 60.40
434 40.52 85.58 140.46 90.67 38.07
435 40.95 62.25 178.58 104.16 57.53
436 41.16 5.59 86.72 34.76 37.22
437 41.25 28.87 140.57 56.60 56.80
438 41.47 88.47 134.33 88.84 37.36
439 41.32 50.66 175.24 89.62 63.08
440 41.50 43.28 162.66 79.61 59.16
441 41.60 65.00 177.33 108.72 58.54
442 41.23 85.45 156.86 96.28 38.67
443 41.43 24.39 132.29 53.72 56.76
444 41.79 73.85 170.71 106.30 49.66
445 42.00 10.92 104.02 38.53 42.19
446 41.93 37.09 147.43 63.80 54.28
447 41.82 59.66 189.50 121.12 64.92
448 42.10 76.83 168.60 108.92 46.88
449 41.87 79.72 165.98 108.64 46.60
450 41.89 16.11 115.44 48.08 51.00
451 42.04 33.12 158.32 64.41 57.11
452 42.12 20.74 120.20 52.43 51.61
453 42.04 68.02 178.19 115.18 54.15
454 42.19 83.31 156.54 101.01 41.22
455 42.28 48.31 171.50 99.75 61.67
456 42.53 7.64 86.28 36.38 37.48
457 42.30 53.64 183.04 106.66 61.77
458 42.48 70.94 182.31 114.93 52.02
459 42.02 24.80 133.85 58.05 59.73
460 42.63 27.18 137.48 57.83 54.66
461 42.53 91.26 120.08 91.58 32.92
462 42.66 45.00 164.76 82.30 57.36
463 42.51 40.88 147.46 70.04 53.24
464 42.85 56.69 179.71 102.96 58.53
465 43.01 62.98 178.99 113.48 56.58
466 43.16 30.64 146.20 60.96 52.80
467 43.04 14.31 107.37 42.54 44.50
468 43.13 86.22 145.41 98.51 37.25
469 43.06 23.42 132.17 57.38 50.30
470 43.27 51.19 174.27 101.60 59.82
471 43.25 65.98 181.42 111.81 52.17
472 43.01 18.47 117.14 46.57 48.89
473 43.32 34.63 150.86 69.36 55.24
474 43.26 60.00 177.11 110.23 51.94
475 43.53 75.86 167.26 121.43 46.20
476 43.86 37.98 143.03 69.13 52.71
477 43.22 40.69 153.84 70.58 50.49
478 43.62 80.43 151.48 108.39 41.52
479 43.88 71.98 170.50 114.05 46.38
480 43.77 90.11 124.14 95.77 33.54
481 43.92 5.72 84.34 39.60 34.28
482 43.59 48.61 174.86 91.75 58.46
483 43.70 17.47 109.38 49.04 46.92
484 43.99 68.63 167.97 116.86 48.21
485 43.95 54.16 173.86 109.96 58.14
486 44.29 9.38 92.42 40.77 36.85
487 44.19 21.03 122.89 53.45 49.90
488 44.13 44.66 157.56 85.54 54.44
489 44.25 25.15 132.41 58.99 49.16
490 44.33 28.55 142.48 66.28 51.71
491 44.55 83.73 151.22 109.08 38.52
492 44.42 41.21 155.70 79.92 54.62
493 44.60 12.42 104.37 48.97 44.71
494 44.47 58.58 175.76 123.22 55.95
495 44.89 31.78 140.88 66.09 49.94
496 44.91 61.61 173.64 113.62 51.16
497 44.70 64.74 174.37 115.26 50.24
498 44.82 88.14 126.66 103.70 34.80
499 44.82 35.01 147.32 75.00 53.41
500 44.87 77.75 168.10 131.06 48.05
501 45.03 15.45 107.85 51.83 43.68
502 45.07 50.99 166.22 101.48 54.13
503 44.93 74.00 172.37 120.08 47.47
504 45.23 56.16 178.66 120.64 56.18
505 45.13 93.22 95.28 94.39 26.30
506 45.30 18.81 113.18 54.17 46.06
507 45.28 47.93 164.76 99.50 52.58
508 45.59 53.62 168.38 112.74 55.13
509 45.66 5.38 80.98 39.62 28.97
510 45.65 22.96 124.12 56.27 46.14
511 45.63 68.19 179.07 127.83 49.78
512 45.59 26.74 135.94 67.25 50.06
513 45.53 7.44 84.21 34.85 31.28
514 45.67 44.63 157.46 92.87 51.08
515 45.95 71.33 167.03 121.29 44.68
516 45.95 37.11 141.06 75.70 48.69
517 45.83 40.45 152.72 81.32 50.64
518 46.12 82.46 140.71 113.68 36.95
519 46.13 79.27 153.16 120.18 40.54
520 46.06 58.48 166.90 113.05 52.01
521 46.24 90.84 113.63 97.54 30.18
522 45.98 11.34 87.84 42.95 36.76
523 46.16 86.02 129.28 114.24 36.51
524 46.21 30.07 141.36 67.17 49.36
525 46.22 65.44 179.19 129.99 50.92
526 46.38 75.13 152.52 124.60 41.88
527 46.25 33.89 129.15 62.13 47.01
528 46.57 62.31 166.82 121.82 49.22
529 46.65 15.32 105.05 51.05 41.74
530 46.90 49.25 162.98 103.05 51.36
531 46.79 20.38 113.54 59.41 44.52
532 46.90 95.22 65.46 67.96 18.80
533 47.09 6.50 87.02 44.69 31.03
534 46.92 42.65 159.06 93.62 51.98
535 46.86 52.33 167.73 120.04 55.84
536 46.60 10.11 91.12 45.21 35.81
537 47.16 3.67 70.47 36.90 24.25
538 46.98 26.47 130.22 72.21 49.42
539 46.97 46.18 160.96 107.12 52.62
540 47.30 55.58 156.35 106.12 48.31
541 47.02 33.05 133.30 71.06 47.00
542 47.19 8.63 88.61 45.26 36.41
543 47.33 69.13 160.14 123.88 44.72
544 47.31 88.53 124.24 109.95 33.45
545 47.38 38.57 151.99 93.61 50.84
546 47.64 24.03 112.04 65.05 43.23
547 47.41 58.97 174.53 124.78 50.36
548 47.68 77.45 146.95 124.78 41.25
549 47.83 35.60 145.60 85.97 49.19
550 47.75 73.58 142.60 123.08 40.08
551 47.50 12.12 96.57 48.74 37.93
552 47.30 65.42 172.77 128.33 51.58
553 47.85 84.62 131.92 112.16 35.26
554 47.66 29.82 136.35 73.78 47.20
555 47.96 18.21 117.67 68.28 49.11
556 47.99 81.02 139.35 123.23 38.70
557 47.82 46.69 158.73 85.80 47.72
558 48.13 92.55 100.20 104.83 26.59
559 48.14 61.75 169.70 129.69 48.96
560 47.96 65.48 165.83 120.01 45.18
561 48.31 15.22 102.81 55.89 39.83
562 48.26 44.03 152.54 105.97 50.28
563 48.35 40.56 145.21 90.74 48.94
564 48.53 21.55 109.42 64.61 40.65
565 48.32 52.04 157.12 115.40 52.04
566 48.35 11.63 97.79 48.32 35.46
567 48.56 32.56 127.88 77.73 45.84
568 48.60 8.17 83.64 48.27 32.45
569 48.75 27.43 116.66 71.58 43.98
570 48.72 48.92 155.50 108.35 48.29
571 48.81 69.91 166.16 128.32 43.42
572 49.01 4.69 67.92 42.41 24.77
573 48.81 58.25 160.68 120.26 47.49
574 48.76 88.98 116.91 115.48 31.83
575 49.05 54.89 153.81 114.06 49.21
576 49.19 66.96 157.28 134.18 44.16
577 49.27 64.14 163.03 136.38 45.48
578 49.13 72.94 157.65 133.81 43.01
579 49.42 38.26 129.90 84.30 45.17
580 49.29 78.66 144.12 131.53 37.31
581 49.52 46.10 148.84 105.06 47.81
582 49.24 24.78 111.90 59.16 41.79
583 49.56 82.45 139.68 132.16 35.75
584 49.68 86.20 133.00 122.13 34.16
585 49.48 42.58 141.39 100.49 45.89
586 49.68 30.24 125.23 79.18 44.48
587 49.63 34.93 128.43 83.53 46.47
588 49.65 19.19 98.72 60.98 40.73
589 50.00 75.71 147.66 127.87 37.97
590 50.00 12.50 86.69 52.91 35.03
591 49.74 61.11 159.04 128.48 43.36
592 50.07 2.45 42.62 32.35 17.56
593 49.72 92.93 84.53 98.86 23.97
594 50.00 15.88 95.15 54.42 36.00
595 50.18 97.23 32.16 42.87 10.97
596 49.98 51.22 147.50 111.45 48.19
597 49.90 23.65 104.90 64.24 37.67
598 50.14 8.71 79.80 51.81 31.06
599 50.37 57.27 155.03 123.92 43.57
600 50.00 27.07 120.14 81.70 43.38
601 50.65 68.10 144.45 132.94 42.71
602 50.67 89.88 102.32 115.62 28.68
603 50.58 54.09 160.13 129.17 48.56
604 50.53 72.09 146.46 134.89 39.67
605 50.73 48.33 147.28 112.32 46.29
606 50.77 32.42 123.87 86.20 43.06
607 50.70 41.64 147.01 112.16 46.83
608 50.90 21.76 98.47 64.15 37.65
609 51.13 6.39 66.41 49.32 28.90
610 50.90 63.87 152.77 130.46 41.57
611 51.00 38.07 134.13 94.56 45.22
612 51.05 44.99 138.31 108.23 45.25
613 51.08 79.09 139.11 126.10 35.33
614 50.72 27.54 109.04 71.38 41.16
615 51.13 60.12 156.39 130.31 43.55
616 51.05 83.43 142.37 130.55 34.63
617 50.92 35.47 130.80 91.06 44.53
618 51.44 25.35 97.42 70.46 39.57
