#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ac21 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
338 35.36 76.06 106.58 84.89 76.74
339 35.49 28.25 99.65 60.81 70.96
340 35.38 53.36 111.87 71.65 77.24
341 35.39 7.67 17.18 9.72 12.07
342 35.83 38.33 97.49 58.35 64.39
343 35.63 46.74 119.00 74.75 79.85
344 35.86 14.90 77.79 42.50 50.22
345 35.90 18.62 82.07 45.67 54.74
346 35.68 43.66 106.55 65.31 74.33
347 35.90 57.86 112.96 74.30 78.50
348 36.00 35.15 91.28 57.28 62.86
349 36.11 62.42 117.57 80.94 80.90
350 36.18 67.57 118.08 86.74 77.79
351 36.36 78.43 93.56 76.00 63.06
352 36.30 10.51 50.71 26.65 37.23
353 36.43 49.03 112.94 70.67 73.04
354 36.45 86.54 69.81 68.27 49.74
355 36.59 73.85 103.31 78.61 67.85
356 36.67 55.22 116.84 78.68 77.73
357 36.83 31.25 96.53 59.49 63.67
358 36.79 51.82 127.37 81.64 84.83
359 36.98 24.34 102.98 57.75 60.29
360 36.48 41.30 99.25 56.20 59.51
361 36.74 64.84 118.79 80.03 80.77
362 36.92 70.38 103.86 74.67 67.09
363 36.88 82.16 84.08 79.78 59.25
364 36.88 27.56 108.13 65.53 69.02
365 37.42 7.87 25.88 16.06 19.88
366 37.00 20.83 91.85 52.86 59.24
367 37.09 44.28 107.02 69.23 69.86
368 37.46 60.86 118.82 78.09 74.62
369 37.51 13.48 74.26 40.34 43.26
370 37.43 34.94 105.96 68.46 71.36
371 37.56 57.85 122.86 79.90 72.16
372 37.33 40.79 93.70 60.70 60.54
373 37.89 17.23 79.87 42.67 46.04
374 37.92 38.10 105.29 62.47 63.02
375 37.42 65.09 107.29 94.31 70.52
376 37.88 49.65 141.84 91.33 87.88
377 37.96 53.49 130.02 88.30 82.52
378 38.09 68.03 111.28 83.14 70.97
379 38.00 77.33 89.33 72.98 57.21
380 38.00 89.81 49.47 54.91 39.02
381 38.31 44.71 111.40 67.76 67.95
382 38.22 85.70 69.83 86.92 48.05
383 37.74 20.39 84.23 57.17 51.97
384 38.53 47.43 116.42 78.83 71.24
385 38.16 72.79 99.95 75.01 58.16
386 38.19 28.52 111.43 64.76 66.43
387 38.45 64.33 124.64 86.87 77.02
388 38.54 22.45 100.27 56.31 61.30
389 38.43 81.83 83.88 79.94 57.38
390 38.52 33.29 104.00 62.49 63.99
391 38.77 9.98 54.82 36.44 31.99
392 38.45 11.49 67.12 27.38 33.56
393 38.90 25.39 113.20 61.87 61.47
394 38.92 55.76 122.82 81.71 73.06
395 38.94 41.47 99.15 64.45 60.37
396 39.19 31.04 103.36 66.55 60.25
397 39.09 50.96 126.99 87.59 77.88
398 39.27 19.48 88.39 53.71 51.29
399 39.11 59.15 124.34 83.59 72.11
400 39.33 14.03 77.77 44.06 40.52
401 39.38 62.02 129.26 97.40 77.77
402 39.61 36.02 99.97 63.84 57.46
403 39.53 75.02 95.06 76.99 57.24
404 39.54 79.20 91.34 85.77 60.44
405 39.56 92.05 33.80 38.68 23.73
406 39.68 66.81 118.13 89.13 69.98
407 39.86 38.82 99.33 69.74 59.44
408 39.77 28.57 104.09 66.14 56.14
409 39.78 45.09 115.45 74.06 69.08
410 39.98 53.36 123.05 93.82 76.52
411 40.05 84.41 82.97 72.46 46.09
412 40.13 9.00 43.04 23.56 27.73
413 40.34 16.82 90.62 56.99 48.63
414 40.37 47.95 106.84 79.44 66.18
415 40.27 22.47 103.88 63.75 56.16
416 40.45 33.21 106.72 70.42 61.49
417 40.39 56.74 116.67 82.91 65.99
418 40.65 63.11 117.14 85.74 67.03
419 40.59 72.17 103.41 89.41 64.55
420 40.65 26.32 97.44 59.77 54.06
421 40.37 41.37 101.36 64.57 60.58
422 40.75 50.84 113.70 85.06 67.81
423 41.31 6.20 25.11 16.97 15.81
424 40.49 81.71 81.92 64.82 48.54
425 40.93 13.27 76.82 46.80 41.76
426 41.09 59.88 128.09 82.97 65.74
427 40.92 90.94 50.20 51.92 33.05
428 41.29 87.56 70.47 72.00 42.95
429 41.04 78.29 89.01 87.62 59.05
430 41.04 65.88 121.26 97.17 68.58
431 41.35 19.45 96.35 60.22 50.43
432 41.33 30.58 97.25 71.21 58.29
433 41.51 68.94 108.75 84.31 60.05
434 41.23 44.29 108.36 80.48 65.24
435 41.48 75.14 93.39 80.82 54.32
436 41.38 37.74 100.07 64.87 56.83
437 41.03 41.57 104.89 81.07 60.29
438 41.62 9.65 57.45 36.92 30.10
439 41.41 81.56 83.93 81.31 49.13
440 41.62 53.63 110.32 84.08 62.37
441 41.72 57.17 139.85 101.45 75.75
442 41.82 22.97 98.85 60.19 50.26
443 41.94 46.78 125.08 100.10 78.27
444 42.10 34.83 101.52 69.13 55.26
445 42.31 49.10 114.86 85.49 66.86
446 42.24 84.31 85.56 85.28 48.98
447 42.10 26.15 103.60 70.62 59.38
448 42.26 71.81 99.41 88.38 59.56
449 42.33 16.11 81.09 53.39 43.77
450 42.18 41.56 107.59 78.30 61.36
451 42.31 62.34 115.56 84.99 60.30
452 42.37 91.78 37.34 46.73 27.35
453 42.36 65.71 116.68 98.02 65.81
454 42.85 12.62 70.44 44.03 31.47
455 42.64 28.85 105.68 79.33 59.75
456 42.74 77.40 84.71 83.24 50.75
457 42.81 7.87 41.37 28.94 27.71
458 42.98 31.92 97.11 65.38 50.48
459 43.00 58.24 115.48 82.64 58.14
460 42.89 38.47 110.64 78.43 60.95
461 42.90 55.43 139.09 105.86 74.81
462 42.97 44.79 107.97 83.82 60.10
463 43.12 50.81 124.16 107.38 74.21
464 43.00 19.63 89.45 61.64 46.62
465 43.21 80.65 81.16 85.76 49.49
466 43.40 52.95 126.60 99.95 68.00
467 43.46 74.14 96.79 87.40 55.00
468 43.47 86.26 71.55 80.01 42.63
469 43.31 67.91 111.04 98.13 61.97
470 43.45 23.07 103.63 73.11 51.44
471 43.39 90.22 51.04 57.18 40.62
472 43.63 60.67 120.60 93.52 60.04
473 43.52 5.88 21.47 16.22 13.16
474 43.78 26.03 92.35 73.67 52.21
475 43.75 64.36 111.72 89.70 60.18
476 43.76 35.49 103.31 74.62 55.28
477 43.54 93.68 21.37 30.04 14.91
478 43.84 42.25 116.62 89.15 64.35
479 43.97 70.77 101.93 93.01 55.86
480 43.84 16.81 79.05 55.26 41.28
481 44.09 9.95 54.66 39.98 28.17
482 44.29 46.28 118.27 96.99 65.77
483 44.35 49.24 111.38 93.90 64.45
484 44.33 28.93 96.84 73.36 50.47
485 44.54 82.98 78.56 82.20 45.17
486 44.06 89.34 47.99 66.27 32.72
487 44.28 38.88 108.68 79.91 55.94
488 44.44 55.26 115.38 89.90 59.28
489 44.25 76.28 88.16 86.30 53.70
490 44.51 32.66 106.81 85.43 57.98
491 44.81 14.27 77.97 58.39 39.40
492 44.61 20.67 100.90 70.31 47.28
493 44.65 58.06 114.35 90.78 58.13
494 44.72 77.49 74.79 79.42 44.72
495 44.79 62.03 114.94 100.26 61.02
496 44.83 67.41 99.92 85.13 53.63
497 45.19 7.38 35.12 29.18 22.53
498 44.95 93.64 25.35 32.38 15.65
499 44.90 5.01 17.81 15.01 11.52
500 45.05 52.42 113.50 102.77 63.98
501 45.16 86.78 70.37 82.41 41.08
502 45.45 80.27 73.99 81.72 42.95
503 45.26 23.96 97.17 71.74 49.00
504 45.27 72.57 91.82 89.05 50.93
505 45.21 91.31 45.02 48.74 26.64
506 45.44 43.79 102.59 86.57 55.76
507 45.29 40.74 109.44 89.51 55.50
508 45.43 36.02 107.05 82.01 55.68
509 45.61 11.16 63.47 53.90 31.80
510 45.73 90.01 51.88 62.66 30.02
511 45.67 17.58 81.66 65.45 40.91
512 45.84 63.92 109.94 99.27 57.51
513 45.91 26.97 86.77 68.12 43.29
514 45.67 30.44 104.58 84.59 51.47
515 45.77 48.71 107.48 103.68 58.82
516 45.96 58.65 113.91 102.25 59.50
517 46.07 46.34 117.25 109.02 61.22
518 46.12 55.55 101.60 86.43 54.34
519 46.39 69.51 86.69 79.56 43.27
520 46.20 77.31 78.53 81.20 42.38
521 46.03 83.97 77.41 79.81 43.92
522 46.31 61.29 100.37 94.79 50.79
523 46.48 50.83 99.98 96.35 56.95
524 46.35 66.53 97.25 88.38 48.55
525 46.46 20.92 82.40 63.68 39.17
526 46.54 33.01 95.42 79.12 46.99
527 46.57 74.05 83.96 86.66 44.17
528 46.85 94.04 20.91 29.05 14.00
529 46.53 39.65 101.61 89.84 54.99
530 46.29 88.20 62.88 84.98 33.33
531 46.72 6.16 32.68 24.36 17.42
532 46.88 52.98 106.18 103.85 58.55
533 47.01 14.09 70.28 59.81 33.94
534 47.18 10.59 57.46 45.17 27.31
535 46.94 24.24 91.72 74.31 42.47
536 46.96 35.98 92.76 78.48 46.97
537 47.26 42.12 92.59 87.72 49.73
538 46.77 83.82 75.50 96.27 42.95
539 47.04 87.46 62.14 70.90 34.68
540 47.24 18.21 84.93 64.18 40.88
541 47.29 44.69 110.84 107.90 56.83
542 47.19 80.73 74.08 81.87 41.08
543 47.18 29.79 99.84 81.52 49.24
544 47.42 91.12 47.05 61.45 28.97
545 47.54 47.52 113.17 101.45 55.98
546 47.76 57.27 96.55 92.11 51.79
547 47.58 60.01 115.01 109.15 58.98
548 47.54 64.69 103.24 91.40 49.92
549 47.82 27.31 93.78 79.45 45.73
550 47.89 38.36 97.80 87.32 48.00
551 47.90 54.69 101.88 102.42 51.95
552 48.05 69.89 84.62 90.69 47.75
553 47.89 73.37 83.64 85.53 43.56
554 47.72 76.98 77.58 72.06 44.49
555 48.06 7.83 45.44 43.65 25.18
556 48.16 49.64 103.05 102.52 54.73
557 48.06 4.14 15.90 18.28 9.69
558 48.14 84.00 76.92 84.55 40.90
559 48.19 21.97 89.38 75.89 41.28
560 48.26 31.87 86.57 73.94 43.14
561 48.45 62.31 96.37 95.67 47.99
562 48.29 78.54 78.01 101.74 42.21
563 48.66 51.94 99.91 95.45 50.44
564 48.69 67.20 97.35 99.84 51.16
565 48.61 18.93 78.70 68.42 37.05
566 48.67 35.53 91.68 73.70 42.91
567 48.72 87.79 59.04 73.23 33.35
568 48.70 24.89 96.54 85.56 42.81
569 48.76 13.64 64.83 59.70 34.40
570 48.72 94.95 14.55 24.90 10.83
571 48.81 40.88 100.86 97.79 51.72
572 48.54 15.45 55.08 54.17 27.71
573 48.81 44.19 101.99 101.17 54.83
574 49.24 80.23 73.34 85.38 39.38
575 49.23 75.77 75.50 83.61 39.28
576 49.15 91.26 40.83 58.66 25.16
577 49.24 46.77 101.82 101.45 54.22
578 49.28 59.97 100.60 99.52 49.32
579 49.14 10.56 52.74 53.21 27.88
580 49.44 27.70 93.30 84.62 45.74
581 49.43 64.42 93.15 103.80 50.86
582 49.41 72.43 82.00 94.34 47.01
583 49.37 54.37 107.38 108.99 56.15
584 49.58 5.26 21.80 25.00 14.52
585 49.66 57.46 91.24 93.75 47.54
586 49.75 17.21 79.97 77.88 37.53
587 49.62 83.87 69.06 91.18 37.17
588 49.70 31.55 84.12 73.45 39.12
589 49.80 49.49 98.58 102.20 50.20
590 49.92 38.86 86.33 82.93 42.93
591 50.00 23.47 79.89 67.49 36.62
592 50.06 69.36 85.61 93.83 44.38
593 49.67 85.78 54.51 90.51 32.30
594 49.81 9.84 53.08 58.83 27.32
595 50.23 35.88 88.91 81.55 42.45
596 50.15 42.57 101.82 100.74 48.62
597 50.34 13.92 60.83 59.35 30.59
598 50.67 20.95 79.77 80.47 39.18
599 50.52 51.76 98.36 100.51 49.36
600 50.45 62.48 90.53 104.38 47.09
601 50.26 7.59 39.90 44.38 24.44
602 50.69 66.45 90.59 97.77 44.26
603 50.66 76.69 68.82 75.90 36.45
604 50.68 93.57 20.52 33.97 15.27
605 50.77 89.91 46.92 67.77 27.17
606 50.61 55.57 96.27 109.38 51.25
607 50.84 86.00 58.16 82.18 34.41
608 50.73 46.82 99.45 98.44 50.01
609 50.76 28.16 90.42 95.09 44.08
610 50.94 33.50 96.99 102.74 46.83
611 50.82 80.47 62.71 77.86 34.47
612 50.99 11.17 55.39 62.06 28.56
613 51.04 72.64 71.17 79.47 37.04
614 51.21 60.05 89.18 96.13 47.52
615 51.27 3.61 12.53 16.93 8.32
616 51.37 44.26 99.28 93.76 45.79
617 51.06 6.87 31.12 41.63 20.17
618 51.21 17.69 70.94 76.60 34.30
