#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ad36 13  - even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
444 43.39 81.51 80.66 91.58 37.45
445 43.32 35.57 97.51 83.65 43.11
446 43.32 73.92 104.46 107.21 45.45
447 43.42 43.37 109.53 87.80 48.24
448 43.41 20.50 100.16 94.31 43.65
449 43.60 17.07 93.99 83.73 38.06
450 43.53 30.32 88.31 84.75 39.74
451 43.75 77.94 75.27 87.59 37.07
452 43.90 12.50 76.10 68.48 31.48
453 43.87 23.69 90.51 88.77 40.29
454 44.10 70.73 97.48 102.94 43.35
455 43.92 49.65 103.05 93.16 46.40
456 44.17 55.78 98.40 95.99 44.26
457 44.09 58.86 99.76 100.04 45.24
458 44.41 46.76 102.57 89.97 43.65
459 44.34 63.54 100.54 106.92 44.53
460 44.37 67.28 96.18 104.50 43.12
461 44.33 92.20 58.31 66.57 27.82
462 44.41 26.72 93.68 88.95 39.24
463 44.64 7.60 67.35 58.89 25.33
464 44.84 32.89 89.74 87.20 39.78
465 44.81 52.97 98.21 93.08 44.07
466 45.13 85.99 68.99 84.43 33.41
467 44.71 82.50 81.62 98.27 37.37
468 44.92 35.92 87.54 90.60 39.57
469 44.82 43.43 101.99 90.08 43.25
470 44.92 74.05 86.73 99.26 38.49
471 45.11 16.21 83.03 85.04 31.94
472 44.89 39.76 89.92 88.54 41.22
473 44.96 20.56 92.51 90.38 36.35
474 45.12 60.61 95.87 106.02 44.70
475 45.38 29.49 86.31 94.71 38.31
476 45.65 76.49 81.10 103.50 38.60
477 45.54 95.36 40.35 48.50 21.01
478 45.86 79.57 79.15 102.53 37.53
479 45.75 10.14 77.19 73.38 28.76
480 45.64 50.94 91.26 87.02 42.90
481 45.72 89.79 63.96 80.52 30.02
482 46.05 13.72 80.66 78.44 29.22
483 46.00 23.36 82.75 94.47 36.71
484 45.78 67.85 89.53 106.58 40.43
485 45.92 48.27 87.97 89.51 42.72
486 45.97 56.13 80.93 86.46 39.66
487 45.99 98.20 13.49 19.84 8.34
488 45.92 71.40 85.98 107.32 40.13
489 45.97 63.76 87.28 101.30 40.33
490 46.18 26.53 85.58 97.21 36.92
491 46.04 82.72 80.95 96.06 37.14
492 46.28 37.16 94.33 106.59 42.72
493 46.39 19.52 89.21 101.08 35.38
494 46.18 44.06 93.53 95.89 42.72
495 46.43 40.70 87.96 102.84 42.01
496 46.74 6.54 57.22 58.08 21.43
497 46.43 59.82 96.14 110.62 42.06
498 46.59 31.73 84.41 97.06 36.52
499 47.19 92.29 54.73 72.63 25.31
500 47.36 17.13 78.67 89.00 30.59
501 47.15 53.16 74.45 90.54 39.84
502 47.31 87.87 64.71 87.30 31.51
503 47.24 66.35 87.62 110.28 37.91
504 47.31 73.10 82.75 111.56 38.50
505 47.19 46.57 89.56 98.31 41.44
506 47.36 69.59 85.30 106.50 37.94
507 47.29 96.70 29.63 35.36 15.83
508 47.51 34.62 82.32 91.78 35.38
509 47.42 84.05 68.88 92.72 31.87
510 47.40 11.37 76.39 83.87 28.68
511 47.34 78.68 75.96 105.00 36.99
512 47.65 50.19 74.60 93.68 38.15
513 47.76 75.50 74.65 101.94 35.72
514 47.80 28.01 76.05 100.34 35.56
515 47.71 63.33 86.01 111.72 37.04
516 47.87 21.55 83.63 96.19 32.67
517 47.79 24.63 79.84 100.78 33.25
518 47.70 39.12 80.53 103.33 37.62
519 47.78 42.72 88.21 102.98 39.30
520 48.09 55.43 75.53 97.60 37.71
521 47.82 59.90 79.18 98.77 36.83
522 48.40 14.51 67.94 88.13 26.64
523 48.32 8.12 70.46 78.37 24.87
524 48.47 30.86 78.28 105.13 35.46
525 48.51 81.18 66.96 102.51 32.17
526 48.60 45.35 87.98 111.42 40.60
527 48.91 97.19 25.74 35.60 13.19
528 48.81 37.34 75.40 105.97 36.57
529 48.78 77.76 77.29 129.52 38.61
530 48.92 57.88 77.78 108.14 36.92
531 48.88 67.41 83.89 111.00 38.63
532 48.91 71.56 72.78 103.34 34.36
533 49.11 19.72 77.58 96.82 29.16
534 49.03 93.44 48.44 72.59 23.22
535 49.08 49.08 81.50 108.67 39.29
536 49.30 87.01 60.35 88.32 28.61
537 49.41 90.16 50.46 79.10 25.69
538 49.23 33.94 81.75 112.24 37.26
539 49.25 40.82 75.24 102.91 36.67
540 49.41 11.02 63.35 80.28 24.62
541 49.19 52.28 82.81 113.58 39.00
542 49.29 63.61 77.12 112.96 37.31
543 49.60 83.57 66.02 104.87 31.84
544 49.47 25.26 69.41 101.62 31.12
545 49.86 16.81 70.97 99.33 30.43
546 50.08 28.06 71.09 103.68 31.13
547 50.07 76.14 72.82 108.98 34.79
548 50.04 6.95 53.38 71.05 20.28
549 49.92 46.57 82.57 112.20 38.42
550 50.21 61.10 75.10 116.20 35.75
551 50.20 43.52 77.62 110.17 36.72
552 50.22 54.69 70.84 110.16 37.30
553 50.37 22.66 69.08 105.68 29.60
554 50.26 79.75 63.75 107.38 32.52
555 50.44 73.36 65.46 112.45 32.57
556 50.48 69.79 73.20 120.46 35.90
557 50.53 30.92 67.14 108.11 31.47
558 50.36 58.22 73.11 115.30 35.04
559 50.44 66.38 73.61 123.43 35.60
560 50.63 13.40 62.15 100.10 26.62
561 50.56 37.02 73.16 104.65 32.76
562 50.69 3.00 29.58 38.18 14.24
563 50.55 97.74 18.63 29.78 10.96
564 50.60 51.22 71.60 118.97 37.12
565 50.82 39.83 68.52 105.79 33.53
566 50.94 94.61 40.80 60.04 18.77
567 50.90 34.00 72.44 117.04 32.93
568 51.15 19.79 66.85 101.56 27.28
569 51.13 48.60 78.02 117.41 37.42
570 51.15 85.29 63.29 107.34 30.33
571 51.61 91.59 50.56 82.26 22.87
572 51.46 63.32 76.63 123.09 35.74
573 51.62 9.53 55.90 86.14 21.55
574 51.77 88.40 50.40 89.45 26.75
575 51.74 24.74 62.10 103.26 27.15
576 51.77 81.83 61.88 106.16 31.20
577 51.84 45.68 74.12 109.64 35.53
578 51.79 16.49 62.20 103.10 26.33
579 51.76 42.64 75.10 117.94 35.48
580 51.71 56.72 62.64 115.06 33.04
581 51.84 78.40 67.31 113.58 31.47
582 51.95 27.92 67.71 101.67 29.27
583 51.84 53.07 66.08 112.17 33.38
584 51.95 71.87 68.29 126.24 34.61
585 52.06 75.37 64.16 116.14 31.64
586 51.98 66.41 71.23 127.38 34.10
587 52.18 6.12 47.82 80.93 20.14
588 52.17 60.41 61.29 112.85 32.37
589 52.56 2.52 24.60 37.22 13.29
590 52.36 12.83 60.90 98.62 23.57
591 52.36 97.49 16.13 28.12 9.32
592 52.47 35.61 61.36 107.38 29.84
593 52.40 39.30 69.44 112.30 32.03
594 52.80 21.96 66.28 114.34 27.95
595 52.80 69.40 65.63 131.61 34.25
596 52.59 32.08 63.57 114.26 28.82
597 52.75 50.21 74.50 128.51 34.26
598 53.13 47.70 62.68 114.03 32.41
599 52.96 84.94 57.33 105.75 28.06
